image_name,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63
000008.jpg,0.0,48.81134,21.893293,79.03504,94.07227,45.40904,38.31444,0.0,11.751778,22.89277,63.663155,41.84703,28.472506,8.390053,39.880535,58.371613,66.8685,47.886253,22.932003,40.751575,24.433212,47.81509,17.672005,22.261908,25.287453,11.651097,24.202654,41.44679,89.86903,13.0058,0.0,0.0,65.96315,101.11026,53.136017,18.941116,0.0,57.604633,8.442095,37.562836,0.0,20.354921,39.387394,34.859886,36.317745,33.572445,0.0,19.506405,0.0,72.17862,54.84403,30.55799,51.48829,40.611195,8.072269,26.82907,24.784945,16.2642,39.204235,24.491272,22.46272,24.273903,45.941475,39.207615
000056.jpg,0.0,46.658752,27.207182,26.548342,90.32515,104.31426,46.544003,0.0,59.938572,117.21059,55.43339,99.01821,23.490242,35.563023,27.77448,106.17276,126.168365,70.13961,67.96054,42.627666,0.0,43.6967,66.256645,47.4601,30.83831,106.09368,52.845943,59.290497,79.95123,0.0,0.0,0.0,0.0,104.056046,35.594204,24.885191,0.0,42.00715,80.54375,48.779697,0.0,50.471382,81.25956,12.450198,115.232025,0.0,0.0,19.268734,0.0,53.324158,8.380901,25.215305,72.94644,78.577644,40.315014,68.76431,20.746933,13.666401,29.611212,111.58428,3.4640517,15.119359,77.98942,100.03025
000082.jpg,0.0,72.27484,30.665462,46.462097,133.76576,57.68051,42.019695,0.0,45.96624,16.53872,75.72044,54.21055,49.376022,35.200394,31.160383,44.94102,65.23084,61.345898,47.60769,36.88168,14.785162,38.070507,41.694874,50.400364,36.782333,59.60539,25.090405,43.849754,123.498955,56.26199,0.0,0.0,29.88203,81.92747,65.62563,63.938873,0.0,48.37452,32.2672,67.29796,0.0,67.13938,27.945274,79.14427,18.311867,84.969864,0.0,65.812195,0.0,64.14185,12.931577,24.866953,22.231604,49.14385,59.278927,58.599285,48.615204,35.96864,44.86736,36.98839,64.62689,58.778008,33.95294,52.446888
000133.jpg,0.0,16.870768,38.014248,59.9905,11.129563,62.035934,29.944733,0.0,37.005497,76.26957,42.011124,30.378643,34.48749,36.952084,11.158589,43.312805,35.75376,55.412403,30.261927,50.90463,0.0,55.93333,52.479218,14.420377,21.83662,44.997616,47.22545,27.514347,54.85499,24.570814,0.0,0.0,39.59052,71.400314,38.749897,25.951576,0.0,13.177374,31.140999,41.27001,0.0,41.1133,43.2385,54.62073,52.184307,41.250175,0.0,33.879223,0.0,34.622856,14.856775,31.33457,27.905304,40.253284,7.501802,8.903474,39.06865,34.414066,36.627754,38.386635,57.524097,36.47493,33.592964,22.9255
000311.jpg,0.0,84.03089,0.0,111.58883,81.46012,76.1786,96.52571,0.0,55.295788,73.41421,76.65683,97.389885,22.700275,29.434809,36.78759,72.271194,28.05142,84.27581,87.313324,36.338226,0.0,53.070995,82.05995,32.704105,32.268467,104.08689,84.47273,45.57413,32.82066,62.669342,0.0,0.0,0.0,25.069103,55.427776,34.836533,0.0,19.05483,51.6068,21.579454,0.0,33.407097,40.630085,60.648285,82.19103,22.762844,0.0,3.5642185,0.0,56.994995,34.29583,45.72666,92.82285,57.126637,25.811409,58.968918,30.270868,21.646263,56.84965,100.33658,35.776646,53.639057,70.909325,0.48374248
000402.jpg,0.0,16.283813,61.497463,44.654568,77.69982,29.555794,68.692825,0.0,25.085829,47.27278,94.27706,43.01221,30.098436,32.117573,74.54637,18.30063,44.391552,107.00824,44.922153,17.12837,17.78222,15.380421,66.86941,47.92234,48.060696,25.271078,44.572212,81.27983,74.05849,40.19584,0.0,0.0,44.046947,126.611565,40.863747,22.04089,0.0,21.630022,28.951395,62.151176,0.0,37.439194,58.740303,59.79472,17.327091,59.4001,0.0,35.507854,0.0,61.588097,52.626095,21.025375,49.334644,66.71851,63.557083,27.981602,25.336002,73.079926,29.560064,8.176024,124.97087,7.562449,34.634033,47.22472
000729.jpg,0.0,67.59689,19.31192,61.083862,170.15222,82.95183,51.3369,0.0,34.715866,85.588104,62.47229,66.48226,78.22244,43.163364,81.14295,23.083239,44.257286,76.04335,8.951238,66.615425,30.048975,30.84174,72.28286,33.26792,35.249504,34.745182,100.80403,145.7778,176.85178,56.567356,0.0,0.0,95.100266,77.11919,44.877785,86.080864,0.0,52.292538,51.528618,67.36789,0.0,62.944916,47.84257,32.719265,34.752583,61.31382,0.0,110.15905,0.0,106.3566,81.85228,94.798874,1.3541011,129.10258,51.180077,58.4354,54.653297,101.47341,46.561157,31.541607,71.10907,30.565971,81.64202,24.270987
000730.jpg,0.0,19.12907,13.434395,51.728245,134.31319,54.487896,59.752205,0.0,44.40937,82.91291,109.322174,45.517933,48.810013,76.39185,53.14828,55.843266,31.776224,114.356285,18.971563,52.530594,34.042225,25.577854,53.9969,49.773952,47.444736,34.602444,112.5857,73.377525,153.09053,44.08959,0.0,0.0,91.06446,162.01912,33.081257,92.84361,0.0,37.167923,47.646156,49.58159,0.0,61.036404,82.624146,58.915615,32.232883,86.439415,0.0,66.99908,0.0,90.26177,5.1220026,23.859364,56.033134,79.045975,36.728065,35.249687,61.02526,91.02019,57.511246,34.363304,76.68257,0.0,36.72183,33.029
000891.jpg,2.0954947,36.343365,26.55662,65.03383,42.337112,55.297573,32.243607,0.0,46.566807,27.917147,57.650475,48.721256,19.28934,38.045876,19.241562,27.065147,48.489807,57.86359,36.14042,39.454933,6.1768303,48.69753,26.577513,32.2079,10.162495,18.660486,67.15771,25.981148,46.41714,25.510202,0.0,0.0,61.097748,43.84272,45.863976,52.427288,0.0,10.004955,50.920444,27.51212,0.0,19.071278,46.28855,60.443047,42.910408,25.922194,0.0,22.177145,0.0,38.148865,56.02133,36.118458,45.382137,56.9874,22.228172,31.919048,9.888913,30.463625,13.011686,29.889553,39.588665,10.013126,9.363732,14.911809
000996.jpg,0.0,12.489898,26.04136,55.474598,31.860195,55.79166,33.88158,0.0,37.243134,37.582565,26.422491,33.754486,23.004465,22.774082,41.411354,24.985937,28.019371,77.42859,56.094074,40.84961,6.275189,67.84539,50.00455,41.02748,23.190283,25.000904,34.592007,23.481983,11.585551,28.813307,0.0,0.0,24.371078,36.36769,27.510248,34.495083,0.0,30.131203,32.740967,16.46687,0.0,49.064198,50.135883,50.97899,31.633879,40.684933,0.0,27.763876,0.0,34.49681,41.058365,58.471798,66.05423,38.32966,17.6035,10.705592,42.40457,44.393238,11.123456,57.727882,52.404266,27.0652,44.946568,20.02841
